,movie_id,movie,genre,year,1800s,1900s,2000s,Animation,Game-Show,Film-Noir,History,Sci-Fi,War,Horror,Mystery,Reality-TV,Thriller,News,Action,Sport,Comedy,Drama,Adventure,Documentary,Western,Talk-Show,Short,Family,Romance,Adult,Crime,Music,Musical,Biography,Fantasy
0,0000008,Edison Kinetoscopic Record of a Sneeze ,Documentary|Short,1894,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0000010,La sortie des usines Lumière ,Documentary|Short,1895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,0000012,The Arrival of a Train ,Documentary|Short,1896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,25,The Oxford and Cambridge University Boat Race ,,1895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0000091,Le manoir du diable ,Short|Horror,1896,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0000131,Une nuit terrible ,Short|Comedy|Horror,1896,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0000417,A Trip to the Moon ,Short|Action|Adventure|Comedy|Fantasy|Sci-Fi,1902,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
7,0000439,The Great Train Robbery ,Short|Action|Crime|Western,1903,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
8,0443,"Hiawatha, the Messiah of the Ojibway ",,1903,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0000628,The Adventures of Dollie ,Action|Short,1908,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0000833,The Country Doctor ,Short|Drama,1909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0001223,Frankenstein ,Short|Horror|Sci-Fi,1910,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0001740,The Lonedale Operator ,Short|Drama|Romance,1911,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
13,0002101,Cleopatra ,Drama|History,1912,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0002130,L'inferno ,Adventure|Drama|Fantasy|Horror,1911,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
15,0002354,Max et Jane veulent faire du théâtre ,Short|Comedy|Romance,1911,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
16,0002844,Fantômas - À l'ombre de la guillotine ,Crime|Drama,1913,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,0003740,Cabiria ,Adventure|Drama|History,1914,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,0003863,Dough and Dynamite ,Comedy|Short,1914,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
